#{"t_start": 1765095606.625736, "env_id": "intersection-v0"}
r,l,t
-2.0,8,129.207333
-1.0,5,129.358639
-2.0,5,129.52673
7.61852,9,129.855517
4.749386,13,130.263383
9.0,9,130.428909
-1.366575,6,130.60107
-1.931388,5,130.786059
0.0,6,130.928952
-2.318366,5,131.092147
0.03618,7,131.248533
-3.0,10,131.474902
-0.841249,5,131.622007
5.0,12,132.323742
7.617435,9,132.616353
4.0,7,132.819496
8.633113,10,133.03948
8.552042,12,133.384316
-2.0,4,133.570081
5.15723,11,133.959069
0.0,6,134.178432
7.62673,10,134.472565
-3.0,11,134.805242
0.0,5,134.929674
7.61742,11,135.206772
-3.0,5,135.3243
4.615503,12,135.602045
-1.447446,7,135.837541
7.550321,11,136.07109
-2.0,10,136.553391
9.0,10,136.877046
-1.379585,6,137.04136
5.633166,13,137.468425
-1.0,5,137.693211
8.633113,10,137.96086
8.0,8,138.257398
7.178213,11,152.704134
0.0,6,152.835875
-1.0,5,153.006803
2.035618,9,153.222634
8.0,8,153.416733
7.633114,9,153.588103
1.0,6,153.827612
-2.0,4,153.959302
2.204842,13,154.317289
-3.0,11,154.881934
-2.0,6,155.013112
9.0,9,155.302967
0.420014,6,155.505909
-1.0,5,155.695743
0.0,6,155.904967
0.158681,6,156.068618
0.0,6,156.263606
8.549894,11,156.76238
0.0,6,156.928319
-1.39348,9,157.199802
9.0,9,157.499055
0.0,6,157.706292
9.0,9,157.943352
-1.0,5,158.069664
9.0,9,158.375752
-1.379585,6,158.520675
3.472872,13,158.878621
-1.0,5,159.111415
8.633113,10,159.401513
-1.0,5,159.572249
-2.0,4,159.77251
-1.0,5,159.939173
-1.0,5,160.165505
0.0,6,160.267349
7.61852,9,160.589725
7.550179,13,161.00326
8.633113,10,161.290894
8.615844,10,161.531815
-2.365057,5,161.638647
-1.372771,6,161.831281
-1.0,5,161.968259
0.0,5,162.057217
8.549894,11,162.352901
-1.372771,6,162.510093
0.0,6,162.700014
7.550194,10,162.932693
-0.299923,5,163.062937
-2.0,4,163.187661
-3.356173,4,163.365766
2.0,8,163.498084
-2.365057,5,163.722704
-1.0,6,163.825608
-2.0,4,163.95562
-4.0,2,164.018066
8.616025,10,164.408459
8.62673,10,164.593471
0.0,6,164.797386
9.0,9,165.038296
2.836861,13,165.433286
0.0,6,165.653754
-2.0,7,165.915398
-2.314884,9,166.178552
7.0,10,166.450094
-3.0,12,166.876578
7.562943,10,167.208945
0.420014,6,167.466325
8.0,8,167.855372
-1.0,5,168.037613
10.0,10,182.429327
9.0,9,182.701209
-1.446814,7,182.902554
0.0,6,183.06796
-2.0,4,183.19803
8.616025,10,183.423854
10.0,10,183.627206
-1.0,5,183.767622
7.562943,10,184.135266
-1.0,6,184.299933
-1.0,5,184.459152
-5.0,1,184.539279
8.62673,11,184.763938
9.0,9,185.061944
7.681208,9,185.44274
8.616025,10,185.847933
-2.22268,5,186.045696
-0.57992,5,186.182355
0.0,6,186.320544
9.0,9,186.590921
-1.299552,4,186.792361
0.0,5,186.958075
-1.0,5,187.144061
-1.0,5,187.351732
7.616072,9,187.581153
-1.0,5,187.733692
0.0,6,187.885358
0.0,5,188.0863
0.0,5,188.224125
9.0,9,188.489454
5.462028,13,188.97741
9.0,9,189.25917
-1.0,5,189.427748
9.0,9,189.598422
9.0,9,189.971808
8.0,8,190.266282
0.0,6,190.402406
9.0,9,190.718732
7.0,10,190.899885
9.0,9,191.212664
7.459742,13,191.645002
7.562943,10,191.929482
5.1005,13,192.370772
-2.0,7,192.576869
10.0,10,192.893905
0.0,5,193.053355
9.0,9,193.289901
-1.0,5,193.509538
9.0,9,193.69189
-1.84084,4,193.857292
-0.381164,6,194.046655
8.62673,11,194.493754
-1.372771,7,194.751266
-2.523997,7,195.01484
9.0,9,195.272596
7.475173,13,195.657356
-1.373258,7,195.895848
9.0,9,196.134954
7.552807,10,196.413098
-1.0,5,196.596791
0.0,6,196.8785
8.617423,11,197.161607
6.179853,10,197.432496
10.0,10,197.713833
9.0,9,197.856237
-1.0,5,198.04214
9.0,9,212.309077
9.0,9,212.663433
1.0,7,212.946479
1.0,7,213.231426
9.0,9,213.428644
0.0,6,213.600264
-1.366575,6,213.839695
10.0,10,214.070327
-1.0,5,214.220734
-2.437045,7,214.401066
10.0,10,214.608342
10.0,10,214.988354
0.0,6,215.165098
8.0,8,215.345975
0.0,6,215.49437
-1.0,5,215.677994
7.298444,10,215.850938
0.0,6,216.05205
9.0,9,216.244739
7.562943,10,216.607744
-1.318719,6,216.804216
-1.0,5,216.947582
8.681208,10,217.155234
7.61852,9,217.388963
5.788959,13,217.735594
7.616072,9,218.05712
-0.299923,5,218.169202
-1.436972,7,218.3803
-0.961325,6,218.542428
8.618513,10,218.922496
0.420014,6,219.104666
8.616025,10,219.384357
-2.0,4,219.492346
0.0,5,219.621729
7.61852,10,219.932153
0.0,6,220.09418
0.0,5,220.187693
1.0,7,220.388823
-1.366575,6,220.520246
6.486392,11,220.727078
-0.961325,6,220.81899
9.549863,12,221.197788
6.167957,13,221.561158
8.0,8,221.676662
-1.0,5,221.837564
10.0,10,222.114451
-2.370348,5,222.291449
