#{"t_start": 1765078893.5571158, "env_id": "merge-v0"}
r,l,t
27.519085,33,31.778357
8.938589,10,31.833038
11.514167,13,31.89909
13.988462,16,32.009541
25.378912,33,32.176634
17.178275,19,32.279814
25.606002,31,32.461943
8.928842,10,32.517988
24.29524,30,32.689542
12.585588,16,32.779817
23.370396,33,32.972041
26.710094,31,33.171394
28.269086,36,33.434322
27.267868,33,33.727424
15.444038,18,33.860473
14.341904,16,33.978475
20.55769,24,34.135612
18.11549,22,34.32269
26.719001,32,34.577774
9.055669,10,34.6552
22.441318,28,34.856914
19.679115,24,35.04302
16.925137,21,35.212208
13.470944,16,35.317804
15.646388,20,35.463144
24.200689,28,35.680217
16.105012,18,35.814862
16.075719,19,35.96795
16.756362,22,36.14615
26.732818,31,36.363161
23.155415,34,36.640209
25.11271,33,36.858974
23.015534,33,38.404999
24.454283,28,38.668729
9.744414,11,38.754364
25.656568,33,39.009981
12.289505,15,39.147778
9.713131,11,39.240042
25.259486,34,39.50351
28.819027,36,39.7468
18.338977,24,39.939251
25.669087,31,40.164031
7.875149,9,40.223043
26.593179,30,40.426215
26.050033,35,40.728513
27.918369,35,40.97454
26.578741,34,41.300749
25.856017,34,41.547828
24.575217,30,41.778554
18.767978,24,41.946456
18.293486,23,42.151177
26.919086,33,42.410976
25.978489,32,42.670877
26.781656,32,42.903642
13.696853,17,43.028219
21.64209,28,43.202582
19.528403,25,43.389822
12.66242,16,43.513249
24.637297,30,43.71745
23.762454,34,43.984197
23.862785,34,44.233225
22.570851,33,44.531394
12.498875,15,44.653598
14.628628,19,44.805401
23.00847,31,45.073526
11.930475,13,45.175896
25.791147,33,45.485716
20.70097,27,45.691344
23.71242,33,45.959765
24.618261,31,46.255492
23.771007,32,46.504489
12.346931,14,46.598881
27.019085,32,46.832165
26.819087,32,47.129961
18.222417,22,47.326298
24.213894,35,47.60173
21.017024,24,47.774087
27.319087,34,48.071082
9.207469,10,48.158514
23.820808,33,48.416856
25.972511,33,48.688612
28.419087,35,49.012591
26.89884,33,49.308997
18.716914,24,49.492715
26.309969,31,49.731238
16.163831,20,49.893064
27.917502,35,50.162646
21.425709,24,50.343733
26.869085,32,50.600019
27.361795,33,50.835199
22.023065,26,51.042913
19.732945,24,51.244521
24.033373,31,51.52555
25.606568,32,51.757023
18.983688,27,51.938195
25.756345,34,52.183406
26.81908,33,52.481336
11.278569,13,52.577944
21.916914,28,52.804221
20.556562,28,53.026905
18.678989,24,53.213009
25.707458,30,53.423837
25.569078,31,53.642085
23.668478,34,53.908907
22.417132,28,54.120966
22.697765,30,54.365808
24.996336,32,55.434727
25.806549,34,55.73847
19.737421,26,55.95392
20.344299,25,56.176668
25.967531,33,56.426812
24.441112,35,56.684896
20.884516,27,56.892036
25.394254,33,57.148676
16.392398,20,57.299326
25.446719,33,57.56851
27.269087,34,57.894257
26.917314,33,58.150996
24.671707,31,58.42413
27.615391,36,58.689992
23.219001,30,58.934889
24.313842,31,59.176551
26.619087,33,59.365267
26.765359,34,59.5966
23.256009,29,59.769738
27.568949,35,60.006984
14.9137,19,60.122008
27.819864,33,60.394056
24.623231,29,60.549019
26.868639,34,60.790947
19.669652,25,60.946781
27.941395,34,61.172841
27.668862,35,61.385931
26.44227,32,61.587731
24.780803,32,61.758509
16.080484,19,61.859857
20.899443,30,62.027675
23.310037,34,62.248914
27.969087,35,62.471179
23.952767,30,62.673846
15.204397,20,62.778859
27.566756,34,62.993385
9.60503,11,63.057397
9.615377,11,63.135159
26.86603,35,63.343206
26.519086,32,63.546915
16.152201,19,63.645285
12.152366,15,63.738204
24.446843,28,63.920725
27.318956,33,64.118873
28.962169,36,64.307908
26.369087,31,64.477555
25.79242,33,64.642821
24.556568,31,64.799204
25.133998,32,64.997452
23.661184,31,65.184691
12.207366,15,65.265405
15.175404,19,65.385079
24.002951,33,65.6065
23.420849,33,65.811484
26.743656,34,66.004607
26.975203,32,66.173213
16.83118,21,66.324078
25.897379,32,66.49989
21.867531,28,66.663087
27.768775,35,66.884959
24.001626,33,67.090377
15.769177,22,67.224453
24.355926,30,67.396247
26.415384,33,67.595611
25.895077,35,67.804706
23.613582,34,68.000797
22.139224,29,68.168051
27.325203,35,68.398974
17.118325,21,68.521805
24.112326,34,69.272745
26.469087,34,69.503542
12.593621,14,69.57644
16.463822,20,69.696658
28.419087,36,69.898729
15.868106,22,70.105894
12.11752,15,70.230219
23.710845,35,70.530459
22.112017,29,70.758623
23.902441,35,71.060443
19.37992,24,71.258914
27.1168,32,71.521289
22.992993,29,71.754105
26.26383,34,72.020152
25.110145,34,72.330675
28.224219,36,72.598178
26.788977,35,72.871583
20.719083,26,73.10039
22.869911,33,73.356852
14.233335,17,73.485272
15.778515,20,73.611289
25.636198,33,73.868238
22.614243,29,74.090013
12.494294,16,74.204599
27.319083,35,74.48949
15.783498,20,74.639637
21.083497,27,74.87975
15.419646,21,75.047714
19.922621,26,75.244815
27.869057,35,75.534985
23.269624,32,75.760855
28.169087,36,76.009525
25.73896,32,76.232263
26.119086,31,76.45206
26.369087,34,76.720952
26.459955,31,76.975532
27.569086,36,77.221237
9.853939,12,77.310361
23.37262,29,77.557496
25.54577,34,77.851456
23.858618,36,78.140243
23.469564,32,78.352474
27.103596,33,78.627568
20.010102,27,78.872437
22.020822,26,79.044251
28.419087,36,79.290241
25.017889,32,79.501733
23.519087,30,79.767123
15.699458,19,79.910512
27.218939,34,80.203063
22.866451,33,80.504075
26.819087,33,80.754595
27.969061,36,81.045491
28.575241,35,81.383599
27.318376,33,81.71559
23.659822,35,82.000715
24.181783,31,82.215773
27.010657,34,82.546772
23.515343,33,82.833024
19.217508,24,83.071081
12.633495,16,83.190091
27.519085,33,83.449239
24.019087,31,83.6786
19.553068,24,83.909172
27.419087,35,84.203318
27.338977,36,84.456331
26.898139,36,84.755322
27.065075,35,85.046859
28.848532,36,85.307213
27.31783,34,86.321008
27.725241,35,86.605276
27.018907,34,86.902653
18.521981,24,87.069306
20.26873,26,87.272224
28.519068,35,87.569449
24.410414,35,87.822227
20.363842,27,88.027892
26.938977,36,88.296758
20.370758,31,88.549278
23.16087,35,88.840106
26.718941,34,89.147737
24.166921,35,89.437083
22.910871,35,89.728435
25.419087,32,89.998392
26.087421,35,90.283516
25.956431,34,90.54336
24.574862,31,90.76995
26.616439,34,91.038217
25.586287,34,91.30016
17.172517,24,91.470982
25.893492,34,91.756884
26.263733,33,92.099314
27.138977,36,92.361993
27.119087,35,92.672345
23.382905,35,92.938469
23.360734,35,93.227042
23.408618,36,93.464638
23.53345,30,93.695069
23.202441,35,93.951991
27.069085,34,94.266894
28.119084,36,94.502634
23.718478,34,94.784486
26.810657,35,95.079104
23.51016,35,95.371678
27.499862,35,95.61592
24.060871,35,95.864005
23.710871,35,96.066998
23.885648,35,96.253377
13.27785,18,96.351016
23.518478,34,96.571288
12.078863,14,96.65379
28.519087,36,96.834511
27.665391,36,97.041589
26.317531,34,97.256205
23.455115,34,97.480118
27.504568,34,97.708538
26.66432,34,97.931006
27.467013,35,98.146242
23.872471,31,98.350629
26.169087,33,98.573217
23.717481,30,98.762096
23.108618,36,98.934286
28.319085,36,99.126221
28.069087,35,99.341898
26.688977,36,99.528457
27.719047,34,99.762577
27.019085,35,99.987734
23.860871,35,100.218195
24.172621,31,100.41948
26.788977,36,100.603036
11.564955,14,100.685963
25.995125,34,101.427575
27.569061,35,101.634806
23.572006,35,101.890301
27.819087,36,102.094851
23.247558,30,102.271059
27.369061,34,102.471135
17.417507,22,102.602859
23.766756,31,102.776834
27.769085,34,103.007702
16.468325,20,103.12971
26.438266,35,103.317881
28.519087,36,103.522884
22.910803,34,103.714513
25.672621,32,103.94299
21.470065,30,104.103646
25.856568,35,104.332922
27.519087,36,104.513515
23.591646,35,104.741564
26.147254,35,104.925543
23.760729,35,105.151988
24.702385,31,105.378225
20.531783,29,105.532963
28.119087,36,105.710744
24.110844,35,105.911952
28.369171,35,106.105655
28.619001,36,106.308782
27.469087,36,106.580922
25.59242,33,106.872681
26.322207,33,107.151011
28.519087,36,107.390638
28.715391,36,107.701397
15.17874,20,107.849173
22.813582,34,108.138161
28.649862,36,108.45347
23.708592,36,108.730853
24.158618,36,109.029706
28.269087,36,109.275844
18.944281,24,109.472318
23.963074,34,109.751163
19.776442,28,109.938088
28.019087,36,110.182117
23.349279,33,110.475045
28.56895,36,110.746623
22.921721,30,110.955287
27.069087,35,111.262085
27.819087,35,111.550237
26.69242,35,111.874982
16.329855,22,112.042788
28.469087,36,112.279128
23.562419,34,112.539826
24.317531,32,112.829229
23.662867,34,113.1009
23.817531,30,113.377884
27.938977,36,113.683028
23.653389,31,113.934659
27.969087,35,114.204589
23.649253,34,114.503329
23.910869,35,114.779332
22.671881,29,115.014641
27.466811,34,115.316915
24.458618,36,115.566294
27.719087,36,115.810654
28.219082,36,116.789495
27.869049,35,117.045478
29.069087,36,117.316577
28.619087,36,117.578734
27.769087,36,117.862857
20.017531,25,118.077856
23.667517,30,118.301056
28.869087,36,118.550031
28.325241,35,118.783555
26.256568,35,119.080325
28.769087,36,119.330306
18.688271,23,119.539422
24.16231,32,119.778981
21.994386,27,120.002266
25.672612,32,120.28442
23.858618,36,120.547655
23.609249,35,120.828175
14.842218,21,120.978995
28.369087,36,121.240533
23.810871,35,121.5248
28.619087,35,121.847863
27.769058,34,122.12506
27.460204,33,122.378143
27.325844,36,122.630911
28.319087,36,122.866603
28.669087,36,123.150653
27.519085,35,123.471918
24.358618,36,123.728565
28.219087,36,123.995886
