#{"t_start": 1765075165.574441, "env_id": "highway-v0"}
r,l,t
8.809753,13,691.336954
57.468738,80,698.483763
31.405084,42,702.195861
56.122031,80,709.259329
18.31205,25,711.496035
57.969057,80,718.510479
64.577313,80,725.603053
38.328434,51,730.208705
17.35293,25,732.498777
55.589566,75,739.16002
38.282145,50,743.600688
16.755674,22,745.546348
43.998647,56,750.457305
7.202441,9,751.245148
55.17505,80,758.762814
27.666604,39,762.194135
58.206541,80,769.227761
56.915421,80,776.346884
57.370386,74,782.956614
56.976261,80,790.1059
36.71024,51,794.628067
60.438545,80,802.124023
42.135783,60,808.472894
51.535412,70,815.954126
56.413053,80,823.995115
55.511739,80,831.075849
58.604033,80,838.210072
58.851875,80,845.28529
57.872768,80,852.354046
60.45539,80,859.295845
63.559724,80,866.402165
4.232399,6,866.956781
57.371959,80,873.969053
58.665683,80,881.059396
55.717562,80,888.010612
55.822051,80,895.241343
54.955415,80,902.352943
60.264034,80,909.356087
57.708709,80,916.406619
12.358102,18,918.01491
57.410957,80,925.036291
25.371559,37,928.2695
56.676661,80,935.285891
38.581835,55,940.598063
62.96188,80,947.735083
57.363073,80,954.748051
58.312665,80,961.792054
44.157448,58,966.921679
15.36332,17,968.419201
55.440832,80,975.509567
60.942336,80,982.603441
44.33123,60,987.979923
10.123448,12,989.047822
59.074911,80,996.121026
23.294159,31,998.875975
60.00141,80,1006.759571
16.527417,22,1009.120164
58.845976,80,1017.872926
49.839826,66,1024.919186
57.669761,80,1031.991216
59.997384,80,1039.02269
14.20329,17,1040.516484
7.492671,9,1041.327364
28.384365,42,1045.074514
5.045177,7,1045.721579
42.524996,53,1050.456845
63.318816,80,1057.525516
56.83363,77,1064.346367
56.351979,80,1071.544857
6.701959,10,1072.439971
56.632876,77,1079.308963
59.608271,80,1086.450927
3.657935,5,1086.913294
59.114822,80,1094.026497
21.983862,29,1096.63962
61.498634,80,1103.748087
56.786502,80,1110.770382
23.02922,29,1113.329176
59.440509,80,1120.400586
53.842762,73,1127.337939
62.570261,80,1134.417998
60.093319,80,1141.567216
59.91141,80,1148.772346
56.311892,80,1155.850441
8.837147,13,1157.057896
57.020153,80,1163.994223
24.758363,35,1167.091376
54.597655,80,1174.142812
56.440449,80,1181.217467
62.911103,80,1188.344089
30.080261,42,1192.077839
60.861716,80,1199.238943
60.245415,80,1206.730277
56.937759,80,1215.343975
56.577587,80,1223.892426
60.825833,80,1231.449299
57.159499,80,1238.584436
19.617939,25,1240.834497
57.2092,80,1247.86172
62.745489,80,1254.873126
56.749335,80,1261.940146
65.753709,80,1269.050937
59.452595,80,1276.033233
58.556052,80,1283.049154
57.864238,80,1290.060638
58.082012,76,1296.786333
63.857951,79,1303.871523
15.540278,19,1305.561454
8.12448,11,1306.551873
56.120686,80,1314.039726
57.170056,80,1321.131014
61.541137,80,1328.210038
17.018173,24,1330.32962
54.778954,80,1337.400348
56.273349,80,1344.577834
58.307134,80,1351.644496
56.244249,80,1358.660175
18.989819,27,1360.983088
57.126429,80,1368.094988
56.281859,80,1375.177123
57.551945,80,1382.2165
35.03033,48,1386.508734
54.978253,80,1393.505798
57.16108,80,1400.604897
58.125429,80,1407.93709
48.576024,67,1415.059735
57.386666,80,1423.65726
8.424536,10,1424.748165
56.531556,80,1432.676041
57.578543,80,1439.925903
56.832519,80,1447.040427
46.011307,66,1452.87024
56.258264,80,1459.912858
55.444271,80,1466.872674
56.307953,80,1473.969436
56.503797,80,1481.064493
55.120859,80,1488.199917
60.022411,80,1495.752059
59.057318,80,1502.915849
57.781626,80,1510.099228
62.534735,80,1517.259957
56.718103,80,1524.300823
58.258148,80,1531.301572
58.162932,80,1538.336721
58.929548,80,1545.473248
57.473013,80,1552.618556
19.864106,27,1555.03133
56.93126,80,1562.158527
59.613811,80,1569.235977
55.364943,80,1576.298933
40.510341,55,1581.08028
56.481137,80,1588.078979
58.422751,80,1595.125618
59.716211,80,1602.276225
56.513446,80,1609.422428
59.895932,80,1617.981846
52.371195,72,1625.74468
59.351173,80,1633.936513
57.109042,80,1640.956016
59.163768,80,1647.967092
56.326874,80,1655.070467
57.851353,80,1662.255676
12.121371,18,1663.892896
57.835665,80,1671.018821
61.172803,80,1678.151515
56.114318,80,1685.527548
56.508124,80,1692.673842
54.367359,80,1699.664718
54.98079,80,1706.747864
57.607393,80,1713.794638
4.78004,6,1714.334581
31.303565,42,1718.065045
59.50026,80,1725.123735
64.009209,80,1732.248164
57.819918,80,1739.403318
54.449444,80,1746.374546
41.57049,60,1751.732413
61.354073,80,1758.960436
58.19293,80,1766.055876
61.002971,80,1773.226412
59.332936,80,1780.458267
57.511753,80,1787.46448
56.369639,80,1794.467064
45.161518,64,1800.15593
58.739497,80,1807.258824
57.985225,80,1814.782093
56.23575,80,1823.446965
56.339333,80,1831.98935
56.029204,80,1839.690415
58.963428,80,1846.786983
47.795704,70,1852.981825
56.168786,80,1860.085784
10.807276,15,1861.42337
30.387957,43,1865.267694
56.441226,80,1872.807425
55.145606,80,1880.016059
60.960281,80,1887.006001
59.84336,80,1894.095882
58.443654,80,1901.173792
57.870751,80,1908.26308
56.23714,80,1915.376491
56.801556,80,1922.465182
58.484935,80,1929.491355
56.357748,80,1936.645954
55.090039,80,1943.78466
56.076495,80,1950.826332
60.262596,80,1957.810409
56.74169,80,1964.92803
58.256014,80,1971.945992
52.928052,77,1978.759835
56.073112,80,1985.806624
55.622968,80,1992.759386
63.905001,80,1999.916993
59.890304,80,2006.91845
59.39049,80,2014.014686
58.005932,80,2022.332361
54.901781,80,2030.946643
56.711814,80,2039.223599
26.815189,39,2042.67828
52.80069,72,2049.035739
56.30773,80,2056.46698
59.012294,80,2063.51767
57.351924,80,2070.631516
56.718596,80,2077.813754
54.553738,80,2084.99401
8.789207,11,2085.985266
55.179201,80,2093.127042
16.769348,24,2095.288912
54.710282,80,2102.530009
58.550474,80,2109.609337
57.005021,80,2116.770029
56.841283,80,2123.927329
55.607023,80,2131.028021
60.182448,80,2138.072435
4.199491,6,2138.612239
57.430453,80,2145.754474
55.01666,80,2152.961366
59.948244,80,2160.011261
59.302879,80,2167.17997
58.221403,80,2174.244725
16.468116,24,2176.449378
57.122385,80,2183.559482
59.997321,80,2190.732879
57.688321,80,2197.83509
59.986316,80,2204.953356
55.740472,80,2212.04378
57.052411,80,2219.19729
48.846336,66,2226.415275
56.250585,80,2235.302487
57.725592,80,2244.427366
55.633945,80,2251.498331
58.770034,80,2258.538584
56.98483,80,2265.653401
56.683117,80,2272.83538
58.133434,80,2279.929757
56.311694,80,2286.949462
55.641943,80,2293.917228
55.135722,78,2300.861388
