#{"t_start": 1765078915.1374779, "env_id": "merge-v0"}
r,l,t
25.356568,32,193.246022
9.846654,11,193.302243
27.160657,33,193.479264
26.317348,33,193.655662
10.953113,13,193.718813
12.29373,16,193.797655
26.519074,32,193.964097
23.419502,34,194.158833
17.244294,21,194.267236
8.548452,10,194.317241
26.004636,35,194.492354
18.842363,25,194.618813
22.866572,33,194.789259
26.56824,34,194.965006
14.789105,20,195.066132
22.914377,32,195.229538
27.16306,34,195.402284
18.233498,23,195.526085
23.667025,35,195.726808
15.077913,17,195.812776
28.304395,36,196.002269
25.81216,33,196.169464
24.606109,32,196.329488
23.633817,33,196.49553
11.088604,13,221.868826
26.419087,34,222.052675
23.586291,33,222.218439
23.560811,35,222.393528
18.049995,23,222.512746
20.27347,26,222.646874
25.738965,32,222.80957
24.521545,31,222.967598
23.958558,36,223.147088
17.220777,21,223.255519
27.369085,35,223.431138
21.836527,29,223.578393
21.178371,27,223.71794
23.710871,35,223.8929
22.922255,31,224.050331
25.469726,34,224.228414
27.449848,32,224.394103
25.049987,34,224.565945
27.769086,35,224.748451
22.760545,29,224.921112
20.452382,26,225.056836
24.749259,33,225.21974
25.987356,34,225.393777
23.72516,30,225.544152
26.482266,34,225.724211
22.302385,28,225.871731
25.138977,33,226.040732
27.767429,35,226.223308
25.506566,34,226.39397
27.541368,32,226.587896
23.491689,34,226.758193
9.878507,11,226.810998
23.667057,30,226.961741
24.310073,35,227.13774
28.412169,36,227.318729
13.589951,17,227.404228
27.46377,35,227.579093
18.102728,22,227.688222
9.736731,11,227.742418
23.310722,34,227.916599
20.662236,29,228.064104
15.577066,22,228.174744
20.078012,23,228.297135
17.069036,20,228.399762
23.320204,30,228.555975
26.919087,34,228.737742
17.9943,22,228.852651
23.499347,33,229.017706
16.574583,20,229.119891
12.311338,15,229.198666
9.548715,11,229.253777
27.537737,34,229.425191
25.706568,34,229.594158
18.87262,24,229.719727
26.138917,35,229.898553
27.76733,34,230.078852
26.056568,33,230.24275
14.66758,17,230.327907
27.080144,33,230.500941
27.665391,35,230.712126
20.157419,25,230.836734
24.049741,36,231.019067
25.956566,35,231.194708
25.7944,34,231.370425
26.819061,34,231.568089
27.969087,35,231.748189
14.468563,19,231.848009
18.767531,24,231.971548
11.616121,13,232.035608
26.039235,33,232.204994
26.738977,36,232.393901
12.405836,14,257.769653
24.938976,32,257.933666
19.567531,25,258.061141
25.625108,33,258.230831
22.967531,30,258.391262
22.668478,34,258.572966
27.369087,35,258.756709
26.388977,35,258.959485
23.262842,34,259.133457
19.524848,26,259.266766
26.788977,36,259.455073
23.288152,31,259.613236
28.569087,36,259.80276
24.372621,31,259.967285
11.1477,13,260.031856
23.510871,35,260.21005
12.603661,16,260.288119
23.760851,35,260.488135
25.738975,34,260.667756
28.260657,35,260.848586
23.70925,35,261.022382
27.368541,35,261.203378
24.603089,30,261.359451
22.710785,35,261.540322
26.138643,34,261.714964
26.256568,35,261.89282
18.032199,22,262.007157
20.06895,26,262.139951
13.217529,17,262.227182
18.003388,25,262.358986
27.669087,36,262.544229
27.167466,35,262.739264
9.942168,12,262.799029
26.160544,32,262.968339
26.725229,34,263.146839
28.319087,36,263.329211
15.160789,17,263.416086
19.649923,25,263.547882
26.369087,33,263.724082
19.298701,28,263.864519
17.130498,22,263.977278
23.708618,36,264.159415
9.288287,11,264.215707
22.122786,28,264.379196
25.456548,34,264.548869
27.115662,32,264.715065
12.872941,14,264.784739
24.528741,33,264.957733
19.963702,25,265.090604
26.963742,34,265.270599
27.319087,35,265.442515
22.463582,34,265.618421
27.473991,33,265.792134
18.519041,23,265.906264
17.919263,22,266.016969
26.09242,34,266.22121
20.039917,25,266.349884
26.356568,36,266.529202
27.317529,35,266.706257
24.084046,35,266.881231
26.966744,34,267.060419
27.315391,35,267.237584
15.558855,20,267.33876
17.411841,22,267.45094
13.796692,17,267.536791
27.269087,34,267.718838
26.969087,35,267.898408
26.862157,33,268.063145
26.996104,33,268.239636
23.413581,34,293.717977
21.465117,27,293.86241
27.525241,35,294.045421
27.618775,35,294.227447
27.069087,35,294.414146
24.075543,31,294.577566
20.855013,29,294.727256
20.434062,32,294.893633
23.808618,36,295.10063
23.513385,34,295.275863
10.108608,12,295.333836
23.668478,34,295.506289
25.043008,33,295.709093
27.819082,35,295.892027
25.400026,35,296.068105
27.569087,35,296.254338
17.352322,22,296.362909
28.61377,36,296.541668
13.969102,18,296.634274
26.638977,36,296.817001
27.339698,34,296.998952
26.086323,35,297.178673
23.777189,35,297.3521
26.738977,36,297.535461
20.126851,27,297.674959
13.600248,18,297.76663
15.910077,20,297.868092
22.467527,29,298.021143
27.869087,35,298.204079
26.76889,35,298.386264
25.236334,33,298.557456
24.831412,31,298.722392
23.460871,35,298.90122
26.588977,35,299.080008
27.018772,33,299.259884
26.838977,36,299.443635
24.129989,31,299.605036
27.669087,35,299.788861
25.700033,36,299.973347
27.369087,35,300.160127
25.305853,35,300.333816
27.319084,35,300.508387
10.851598,13,300.571197
27.79143,35,300.756369
22.720851,33,300.951041
27.124927,35,301.138459
23.917531,28,301.284505
27.818775,36,301.493901
27.267531,35,301.678498
27.517461,35,301.85534
27.469085,35,302.028686
27.371665,34,302.207081
24.968381,34,302.380177
13.114058,16,302.461675
27.610657,35,302.651709
27.369087,36,302.831014
15.213765,19,302.928533
23.791615,35,303.106416
22.810871,35,303.289895
27.618724,35,303.49318
28.160657,36,303.69063
27.315124,35,303.873903
23.341646,35,304.054637
25.091609,34,304.229811
26.968879,33,304.406251
22.541693,35,329.93623
24.005547,35,330.112293
24.158618,36,330.293488
28.166444,35,330.485322
23.76016,35,330.664399
27.16907,34,330.841967
13.936161,18,330.930849
28.14389,35,331.113348
27.119087,35,331.296754
27.296931,35,331.475612
25.506541,35,331.654255
26.919073,35,331.838616
27.050018,35,332.015632
28.369086,35,332.196251
27.587356,36,332.378806
26.492419,35,332.563497
24.067005,28,332.713008
23.770849,33,332.880156
28.219087,36,333.070301
26.945131,36,333.253276
27.356016,36,333.454899
19.623366,28,333.607642
26.262696,35,333.790036
22.497577,26,333.925563
27.969087,36,334.115632
25.638665,34,334.289766
27.115379,35,334.46581
23.168477,34,334.635989
28.169087,36,334.816877
22.717471,30,334.997859
24.176299,35,335.174971
24.022621,31,335.339257
27.119087,35,335.522509
26.511323,35,335.727964
20.148607,27,335.867101
27.868376,36,336.045098
19.345594,28,336.18703
27.419085,35,336.370869
15.353092,21,336.480378
27.769087,36,336.660418
17.350879,22,336.769069
27.110657,35,336.955605
28.465391,36,337.145483
26.738977,35,337.33118
23.546939,35,337.504915
24.508611,36,337.686346
26.206563,36,337.866457
28.410074,36,338.056068
27.769087,35,338.240403
9.327795,11,338.295309
26.638976,36,338.475521
27.116444,34,338.656384
25.465065,32,338.823063
26.206568,36,339.007362
24.201003,35,339.188973
27.569087,36,339.376247
23.758618,36,339.554406
28.111661,34,339.734865
24.061739,36,339.917389
28.119087,36,340.10754
24.187151,33,340.273876
26.594297,35,368.959016
23.052896,35,369.14993
17.36928,22,369.26978
16.682278,21,369.38634
25.693497,35,369.57474
10.916916,13,369.642017
27.675241,36,369.845694
26.995131,36,370.037762
24.089313,35,370.225891
17.514051,21,370.342014
27.38313,35,370.537928
27.619087,36,370.724532
24.252441,35,370.929262
26.788972,36,371.130035
25.937421,35,371.325669
28.325241,36,371.527601
27.184969,36,371.718183
17.017242,22,371.83511
27.456961,34,372.019064
28.069001,35,372.209127
22.286624,34,372.392678
19.994302,26,372.532787
25.137308,32,372.703513
26.656197,36,372.895996
26.656568,36,373.118415
26.638977,36,373.322135
27.36306,35,373.526259
23.608618,36,373.712916
20.310102,28,373.859669
23.013556,34,374.035641
26.588977,36,374.222022
26.156568,36,374.408362
22.633322,29,374.556416
27.322208,35,374.745898
28.019087,35,374.936495
27.615391,36,375.139086
22.761283,33,375.315638
28.319087,36,375.496447
22.422019,32,375.665989
27.36906,35,375.847766
14.002384,18,375.936559
27.569086,36,376.128079
17.864886,23,376.253891
26.388977,35,376.464337
15.086114,19,376.558903
24.439393,36,376.73707
26.995131,36,376.916127
13.752384,18,377.006004
27.285281,36,377.187415
27.118376,35,377.372343
28.719087,36,377.56222
23.558618,36,377.743622
27.769087,36,377.92578
27.365391,35,378.103172
28.169087,36,378.291015
26.288976,35,378.473324
22.473923,29,378.624925
28.26906,36,378.816616
28.319086,36,379.00351
25.888977,35,379.186402
26.588977,36,379.369801
23.563831,30,379.530655
27.719087,36,379.722814
26.567531,34,405.355135
27.419087,36,405.548514
27.419087,36,405.729371
27.04227,35,405.919589
23.015215,31,406.077348
27.619087,36,406.275651
26.056568,36,406.482615
26.705857,36,406.686086
27.969061,36,406.895011
21.466404,28,407.04464
23.508618,36,407.228623
28.619087,36,407.42006
27.419087,36,407.600458
26.786701,36,407.784475
27.986116,35,407.98083
27.269087,36,408.167058
26.351252,36,408.351609
27.130547,36,408.535447
27.269087,35,408.720201
28.019087,36,408.908439
28.019087,36,409.098243
27.369087,36,409.3191
28.269087,36,409.503712
27.519087,36,409.681727
27.791433,36,409.864968
27.269087,36,410.055006
26.538975,35,410.237917
27.367889,36,410.438504
27.669087,36,410.624532
27.519087,36,410.804098
28.169087,36,410.996459
28.219087,36,411.183015
25.962658,34,411.361837
27.319082,35,411.544025
25.856568,36,411.729712
27.519087,36,411.914783
26.306568,36,412.109256
27.525241,36,412.299536
27.419087,36,412.479727
23.618473,34,412.654439
25.688977,35,412.83602
27.519087,36,413.025493
28.019087,36,413.212897
27.619087,36,413.402727
27.069087,35,413.59119
20.687737,27,413.732723
23.758618,36,413.912653
26.988977,36,414.118577
19.269087,25,414.250706
26.688977,36,414.427936
28.368639,35,414.636725
23.668474,34,414.808513
27.299862,35,414.993277
25.811138,34,415.16548
26.915194,35,415.343972
28.456016,36,415.537825
27.819087,36,415.725446
23.108618,36,415.912181
28.566811,36,441.346377
26.287343,36,441.530252
28.169075,36,441.715548
24.341651,36,441.911132
27.469087,36,442.099266
27.769087,36,442.280003
28.269087,36,442.460428
27.969087,36,442.639406
27.669087,36,442.862154
26.156568,36,443.045219
28.71377,36,443.234329
26.956568,36,443.416296
23.811076,36,443.602763
24.013614,36,443.782113
27.11377,35,443.965988
26.988977,36,444.147123
27.519087,36,444.337321
26.972621,35,444.521984
26.606998,34,444.704181
26.567476,35,444.880955
28.065079,36,445.068987
27.619087,36,445.25695
23.770216,36,445.438529
26.230546,35,445.611562
21.379901,30,445.764985
26.688977,36,445.945791
26.769086,35,446.120661
19.672617,25,446.245059
24.104844,35,446.417742
28.069087,36,446.596128
26.188977,35,446.773552
27.469087,36,446.960717
25.856568,35,447.163887
26.306568,36,447.344928
26.788977,36,447.533502
25.902757,34,447.707591
27.925241,36,447.897316
17.611405,25,448.024658
26.606568,36,448.204903
27.799861,36,448.391885
28.219087,36,448.596099
25.637343,35,448.773413
26.656568,36,448.954583
27.669087,36,449.134204
26.694302,35,449.320654
27.269087,35,449.506206
28.81907,36,449.694318
26.438217,35,449.878393
23.808307,36,450.058272
24.308618,36,450.239982
26.467142,34,450.418763
26.806568,36,450.602136
26.855546,36,450.786953
22.414405,35,450.965032
21.479901,30,451.125943
23.158618,36,451.3153
27.815391,36,451.502415
27.769087,36,451.694022
27.325224,35,451.87751
28.216756,36,477.301431
25.556507,35,477.485253
26.738977,36,477.668435
27.569087,36,477.859181
26.911323,36,478.063012
27.719087,36,478.250293
26.156568,36,478.433337
28.769087,36,478.623578
25.38696,35,478.799866
26.488973,35,478.978572
25.785067,35,479.151939
27.24227,35,479.327118
28.069044,35,479.503704
26.738977,36,479.685593
25.706568,35,479.862787
28.319087,36,480.049614
26.788977,36,480.229747
27.556016,36,480.413017
27.319087,36,480.630398
26.256568,36,480.827549
27.402385,36,481.029234
23.936097,36,481.211192
25.756557,35,481.389075
27.019087,35,481.576643
23.083221,30,481.737506
26.688977,36,481.921966
22.702304,35,482.108712
26.088649,34,482.285254
27.819087,36,482.473188
25.65653,34,482.648598
26.776851,35,482.832723
26.087356,35,483.009139
26.659495,34,483.187464
27.715391,35,483.382415
27.969087,36,483.585054
27.515391,36,483.79906
28.049862,35,483.97483
26.767531,35,484.159589
27.819087,36,484.351294
27.519087,36,484.54259
26.868005,35,484.727012
27.617466,36,484.903637
27.669087,36,485.093939
20.931782,29,485.242752
27.825241,36,485.433808
27.469087,36,485.626059
27.519061,36,485.814362
28.267466,36,486.003245
24.058618,36,486.184546
27.619087,36,486.373119
27.469087,36,486.55836
27.468639,35,486.744976
28.119087,36,486.934316
25.69242,34,487.115465
27.768764,35,487.29053
27.34242,36,487.479839
27.119087,35,487.667862
25.39242,32,487.832083
27.469087,36,513.774096
17.868986,23,513.894911
28.319087,36,514.086619
27.869087,36,514.279792
26.530547,36,514.461499
26.05572,35,514.641322
27.869087,36,514.822301
22.995547,36,515.047288
19.067531,25,515.182156
16.017526,21,515.296494
26.419752,36,515.480277
18.265803,24,515.625915
27.017531,36,515.809286
27.188977,36,515.99314
27.819087,35,516.168051
26.638975,36,516.357803
26.388977,35,516.565001
27.669087,35,516.750393
27.569087,36,516.940868
23.689365,35,517.119202
27.138951,36,517.304581
27.522632,35,517.491825
27.619087,36,517.686873
27.169087,36,517.866183
27.056959,35,518.043073
27.769001,36,518.234506
26.378958,34,518.416016
26.556568,36,518.602076
27.619087,36,518.804735
24.008618,36,518.986269
26.488977,36,519.168946
14.077659,18,519.26779
27.317412,35,519.470254
27.969087,36,519.682799
26.356568,36,519.892995
27.319087,36,520.096293
27.969087,36,520.291433
26.438977,36,520.477048
25.41231,35,520.696911
27.419087,36,520.911039
26.156566,36,521.099228
26.056568,36,521.284021
26.588977,36,521.46718
27.61906,35,521.649978
27.069087,35,521.834154
28.169087,36,522.029168
28.768376,36,522.220859
26.006549,35,522.410727
22.355013,32,522.583512
28.381071,36,522.770532
27.519087,36,522.987684
27.074929,34,523.198197
26.388976,36,523.404129
16.633234,21,523.514627
27.569087,36,523.736071
28.369087,36,523.928125
23.053388,31,524.103455
26.917531,35,524.297257
25.302385,33,524.490436
26.645131,36,524.678867
28.019087,36,550.494565
27.769087,36,550.687227
28.019087,36,550.867365
26.788977,36,551.049832
27.26377,35,551.233198
27.469087,36,551.427224
25.438977,34,551.5996
27.969087,36,551.788811
26.719087,35,551.966354
19.698477,28,552.118114
26.106568,36,552.312017
28.069087,36,552.504019
28.419085,36,552.691506
27.169087,35,552.864945
26.338977,35,553.045046
26.006567,36,553.230214
23.269087,30,553.380222
27.619087,35,553.572382
27.699862,36,553.765112
27.369027,36,553.948303
26.295131,36,554.158073
28.119087,36,554.347953
27.169087,35,554.535584
14.367141,19,554.635938
28.019087,35,554.818006
27.819083,35,555.004761
27.519087,36,555.193832
27.469087,36,555.377048
27.819087,36,555.564565
26.738977,36,555.748214
27.569087,36,555.937038
26.338977,35,556.144369
28.319049,36,556.336373
22.808618,36,556.53561
28.169087,36,556.736399
26.100033,36,556.92206
26.512695,36,557.11402
27.469087,36,557.310912
27.519087,36,557.512911
27.999862,35,557.707684
