#{"t_start": 1765078915.1374779, "env_id": "merge-v0"}
r,l,t
15.334746,18,80.088757
9.26,11,80.14311
11.876334,14,80.252488
8.11408,9,80.299375
12.968223,14,80.369819
12.367473,15,80.444523
8.806968,10,80.501077
11.335156,13,80.572172
8.841525,10,80.625928
10.681782,13,80.693099
10.722179,13,80.757734
12.521317,14,80.828607
11.964076,15,80.905949
11.516219,14,80.974241
14.93474,20,81.080477
12.21103,15,81.16095
10.796728,12,81.227331
10.500914,12,81.291494
21.39235,28,81.446433
15.673068,19,81.542088
19.400858,25,81.672948
14.714803,18,81.761218
12.370965,14,81.829158
14.538194,18,81.92153
10.866033,13,81.986257
8.823233,10,82.03649
24.516403,29,82.187024
16.483428,20,82.28886
15.814688,19,82.385066
8.791537,10,82.435036
17.244293,21,82.538462
10.785851,12,82.598093
12.513544,14,82.667537
8.616147,10,82.71801
20.6728,26,82.851364
16.102007,19,82.944978
10.196618,11,83.000317
17.198596,22,83.1124
15.344881,21,83.218158
17.88719,23,83.333963
16.426604,19,83.437489
11.97314,13,83.505574
24.499935,32,83.681833
22.268883,28,83.835726
26.241724,30,83.995215
28.819001,36,84.186815
24.956133,32,84.350654
22.879955,27,84.494335
17.896992,23,84.612175
8.31,9,84.663175
11.52873,13,110.076247
12.496473,14,110.147746
18.305025,21,110.254547
26.369058,33,110.420694
8.124947,9,110.466299
20.130442,25,110.621915
14.849675,18,110.713399
26.634511,32,110.888292
17.364177,21,110.998208
11.563319,13,111.064658
8.689064,10,111.116711
14.336671,19,111.217554
22.064491,31,111.376828
23.270851,33,111.542152
17.588613,22,111.655259
23.9227,34,111.824753
24.888779,31,111.98931
26.020129,31,112.154174
11.156052,13,112.218435
20.476447,23,112.354405
23.652312,35,112.537115
11.360673,13,112.603637
8.713289,10,112.65306
18.869081,23,112.769944
16.297559,22,112.881782
26.301988,32,113.048931
13.389892,17,113.135192
22.630132,30,113.289312
23.313582,34,113.459735
25.444302,33,113.629753
18.72171,24,113.751963
27.567531,35,113.938892
14.529541,17,114.026542
11.418805,14,114.099631
23.515524,30,114.254346
23.233907,32,114.423901
11.572033,13,114.488727
8.895075,10,114.539458
25.899862,32,114.707688
19.728496,22,114.822156
22.740364,30,114.973621
20.563771,26,115.106748
8.73451,10,115.156885
24.751117,29,115.30847
25.841421,32,115.477876
9.221192,11,115.53128
10.407153,12,115.592281
27.268376,33,115.76544
12.402203,14,115.83904
21.848541,28,115.987089
25.388829,32,116.148401
19.122855,28,116.323399
18.637306,24,116.443
23.81087,35,116.620151
25.275709,33,116.787806
26.608977,33,116.958904
23.22059,32,117.118576
7.971349,9,117.162342
19.540882,23,117.281786
13.546969,17,117.364026
22.437794,29,117.509899
23.149022,29,117.659638
27.269086,35,117.842113
26.820016,32,118.033579
25.560028,30,118.192456
26.860657,32,118.358491
25.504499,33,118.526794
9.602106,11,118.58416
27.156961,34,118.783753
27.299151,32,119.004492
17.274737,22,119.126948
14.10822,18,119.225852
9.925837,11,119.286148
17.181256,21,119.403872
27.018962,32,119.590823
16.657191,21,119.708047
26.170703,31,119.885977
26.699159,32,120.071365
17.613835,21,120.200727
12.832751,15,120.281625
16.721885,22,120.404295
24.791603,34,120.592493
24.860156,31,120.768764
