#{"t_start": 1765075167.74503, "env_id": "highway-v0"}
r,l,t
7.450925,9,683.485723
26.662004,37,686.749199
11.187941,14,688.025235
10.882713,15,689.363817
65.728527,80,696.454899
31.458096,43,700.210641
7.81066,10,701.078447
5.712316,7,701.705726
27.559709,37,704.922161
40.485992,54,709.686408
59.048902,80,716.732459
38.615317,50,721.092961
3.334549,5,721.546098
29.809798,43,725.350636
5.643554,8,726.075435
10.120353,15,727.410992
40.981721,58,732.499426
14.52995,19,734.182462
9.780478,14,735.44574
22.776108,29,737.965874
11.287012,15,739.318182
59.525848,80,746.308455
36.638939,51,750.748414
59.442292,80,757.677237
15.609586,22,759.618141
4.755836,7,760.238661
16.386978,19,761.940419
25.863924,36,765.172123
13.094538,16,766.588304
36.593709,50,771.051906
30.534205,39,774.485967
16.719768,24,776.576046
14.331078,19,778.278223
4.025638,6,778.810844
14.73955,21,780.641946
24.327839,34,783.633447
12.733032,16,785.050165
55.71279,73,791.486803
59.113205,80,821.151706
11.200007,16,822.570774
37.548102,50,826.966617
4.772155,7,827.597273
15.006149,21,829.46058
11.323066,17,830.969785
44.984231,62,836.409335
35.705271,48,840.668899
11.145996,16,842.059721
18.19106,24,844.173176
17.968688,24,846.243276
41.456907,56,851.179064
42.568233,60,856.487718
7.828239,10,857.386872
17.035406,25,859.607552
4.744575,6,860.143257
58.234318,80,867.082087
23.926994,33,869.964027
18.071606,24,872.061184
17.734975,26,874.338915
20.57167,27,876.691327
10.387997,15,878.003877
5.580005,8,878.725239
57.580104,80,885.770104
46.636147,56,890.690464
15.152014,20,892.456157
13.421563,20,894.241997
24.306419,34,897.231865
52.088673,73,903.638847
21.23232,30,906.27077
26.510043,37,909.514365
27.330502,36,912.692043
23.765036,35,915.739898
56.659603,80,922.723152
3.555617,5,923.170183
30.899165,43,926.896582
3.392911,5,927.331831
55.849479,80,934.371187
16.223479,21,936.215126
35.569039,46,940.239155
57.002286,80,947.215811
22.259104,30,949.857233
58.515692,80,956.888305
58.825233,80,963.854728
32.352157,42,967.54512
10.322061,14,968.782737
31.607618,43,972.593976
34.854363,48,976.848782
28.896152,38,980.162093
57.310785,80,987.207734
36.491583,51,991.716127
12.029477,17,993.2494
5.971767,7,993.876353
11.899622,18,995.477596
19.125826,24,997.571657
14.987758,19,999.262837
56.383955,80,1028.97425
57.441592,80,1035.972207
52.671633,71,1042.180593
57.950526,80,1049.209383
59.71084,80,1056.195886
55.878964,80,1063.166715
18.803239,26,1065.466938
6.334037,9,1066.261955
58.240213,80,1073.193965
57.255626,80,1080.240249
60.448286,80,1087.314671
30.17125,41,1090.902973
47.574938,66,1096.634732
10.789961,13,1097.768336
56.747998,80,1104.779707
55.519841,80,1111.802956
59.034554,80,1118.745906
55.638485,80,1125.696405
50.136214,71,1131.909147
57.155706,80,1138.980509
32.077455,44,1142.866162
57.569023,80,1149.929607
6.136193,8,1150.661042
14.660219,17,1152.153234
15.791143,22,1154.058685
14.29372,20,1155.830678
58.028453,80,1162.922711
5.322986,7,1163.534656
55.493016,80,1170.503232
33.071912,47,1174.627163
5.678672,9,1175.433388
19.003807,24,1177.560415
33.404516,45,1181.475508
47.509952,67,1187.281923
