#{"t_start": 1765095430.307053, "env_id": "intersection-v0"}
r,l,t
-1.379585,6,81.675446
7.46241,12,82.06876
0.0,6,82.254158
0.0,6,82.414185
-1.447446,6,82.619975
-1.0,5,82.731876
10.0,10,82.92997
-4.395669,9,83.192916
10.0,10,83.607283
8.617423,10,83.85515
-2.436558,6,84.130261
8.0,8,84.364096
0.0,6,84.530916
8.0,9,84.739894
1.700002,7,84.969515
10.0,10,85.28934
0.0,6,85.455276
7.561352,12,85.703261
6.242292,13,86.020764
8.0,8,86.269232
8.615844,10,86.596866
-1.372771,6,86.78256
9.0,9,86.928364
-1.0,4,87.096754
8.472951,12,87.420666
-1.065639,9,87.681724
8.549876,11,91.316681
-5.0,1,91.371233
10.0,10,91.543767
9.0,10,91.86558
-1.0,5,92.05208
9.0,9,92.373554
7.306361,12,92.807688
2.0,8,93.04744
-1.318719,6,93.113803
-0.299923,5,93.237589
9.0,9,93.450741
-1.0,5,93.682481
1.700002,7,93.91299
10.0,10,94.289016
9.0,9,94.54318
9.0,9,94.757558
9.62673,11,95.03218
7.633114,9,95.246007
-2.0,4,95.358853
-0.31878,7,95.468661
9.0,10,95.660036
10.0,10,95.899805
8.62673,10,96.242175
10.0,10,96.475459
-1.446814,7,96.809635
0.0,6,96.981658
-2.373197,6,97.257318
-1.0,5,97.385331
9.0,9,97.660753
-1.318719,6,97.878064
7.615829,12,98.157981
10.0,10,98.427444
9.0,9,98.749552
-1.759602,7,98.920258
8.615645,10,99.244046
-3.447459,6,99.361283
-1.366575,6,99.470064
9.0,9,99.737008
-1.0,5,99.852257
-3.0,6,100.045314
-1.0,5,100.108497
10.0,10,100.276727
8.235026,11,100.624771
8.550311,11,100.904907
8.681208,10,101.286806
9.0,9,101.518552
-1.0,6,101.630929
9.0,9,101.711465
-2.382567,7,101.976443
-5.0,1,102.0403
9.615599,11,102.553891
9.0,9,102.7185
-1.366575,6,102.842245
10.0,10,103.101073
0.0,6,103.245148
0.0,6,103.375244
0.0,6,103.485918
-1.366575,6,103.618545
7.62673,10,103.9115
9.0,9,104.110412
-4.0,2,104.20641
8.615645,10,104.500865
-1.372771,6,104.682333
8.617423,10,104.92698
-1.0,5,105.046999
9.0,9,108.554493
0.0,6,108.733297
0.0,6,108.876985
0.700013,6,109.03327
9.0,9,109.296321
9.0,9,109.546138
-1.379585,6,109.71973
9.0,9,109.934049
-2.286128,6,110.127963
-2.0,6,110.357921
-0.299923,5,110.460294
0.700013,6,110.600958
-2.0,4,110.701072
7.288122,10,110.91116
0.0,6,111.114297
8.681208,10,111.326519
-1.0,5,111.459637
9.0,9,111.646641
9.0,9,111.991302
9.0,9,112.23495
0.0,6,112.435852
-2.838445,3,112.529462
0.0,6,112.676689
9.0,9,113.054718
-1.0,5,113.16714
7.60652,12,113.461458
0.0,6,113.617811
-2.523997,7,113.809938
9.0,9,113.95969
9.0,9,114.27359
9.0,9,114.439818
8.0,8,114.611807
9.0,9,114.801387
8.62673,10,115.056411
-0.57992,5,115.165523
0.0,6,115.29711
7.0,7,115.485271
-1.436972,7,115.704519
0.0,6,115.832684
7.681208,9,116.138981
9.0,9,116.320474
-1.0,5,116.44098
9.0,9,116.699918
0.0,6,116.893694
-1.373258,7,117.093637
8.615645,10,117.327838
9.0,9,117.46126
-2.0,4,117.628202
5.922053,11,117.843727
0.0,6,117.935805
0.0,5,118.000901
0.0,6,118.281792
8.488254,12,118.619275
-1.318719,6,118.774189
-0.366834,7,118.942843
10.0,10,119.272562
0.0,6,119.460522
-2.370348,5,119.585955
-1.299552,4,119.686694
7.681208,9,119.87336
8.0,8,120.071197
-1.0,5,120.234835
-3.753409,7,120.329677
-5.0,1,120.382769
10.0,10,120.621393
-1.0,5,120.745895
0.420014,6,120.880568
-0.381164,7,121.04868
-0.447871,8,121.250624
9.0,9,121.415327
-1.0,5,121.584224
1.0,7,121.787186
-0.666847,6,125.257999
8.616025,10,125.490617
-1.0,5,125.708759
0.0,5,125.828051
9.615832,11,126.032883
0.700013,6,126.156559
7.617435,9,126.526159
9.0,9,126.827459
-0.57992,5,126.918436
-2.0,4,127.039884
-1.379585,6,127.259309
0.0,5,127.398514
9.0,9,127.613328
9.0,9,127.846757
8.615844,10,128.071832
8.0,8,128.325111
-1.0,5,128.573696
9.0,9,128.763887
9.0,9,128.993335
9.0,9,129.372666
8.62673,10,129.762054
1.0,7,129.931324
0.0,6,130.133072
-1.299552,4,130.273604
-1.0,5,130.414468
9.0,9,130.671316
10.0,10,130.885894
7.538666,11,131.123628
10.0,10,131.423753
9.0,10,131.67067
9.0,9,131.990962
7.28626,10,132.186953
9.0,9,132.497464
9.0,9,132.807303
1.0,7,132.941677
0.0,6,133.116516
-0.57992,5,133.351256
9.0,9,133.67304
9.0,9,134.027556
-1.318719,6,134.27646
-0.373185,7,134.434845
-2.0,4,134.505019
-2.318366,5,134.745643
-1.0,5,134.873414
-2.0,4,134.998121
-1.0,5,135.138128
9.0,9,135.533697
9.0,9,135.74171
7.615917,9,135.985178
0.0,5,136.071803
9.0,9,136.262166
9.0,9,136.383317
8.618513,10,136.726262
9.0,9,136.945299
10.0,10,137.100885
9.0,9,137.22401
2.158667,8,137.39284
9.0,9,137.695999
9.0,9,137.933565
-2.0,5,138.117406
6.252052,9,138.299993
0.0,6,138.456278
-1.373258,7,138.700854
0.0,6,138.835179
10.0,10,139.024056
0.0,6,139.200093
8.249201,11,139.372152
0.0,6,142.777984
-1.697431,7,142.991625
-1.0,6,143.131317
-2.0,4,143.236887
10.0,10,143.481844
8.633113,10,143.86879
8.616025,10,144.066152
-1.299552,4,144.198666
10.0,10,144.539136
8.562943,11,144.847017
-1.0,5,144.945197
7.561352,12,145.24092
5.0,6,145.386966
-1.318719,6,145.528578
7.615917,9,145.752936
-1.84084,4,145.89736
8.615844,10,146.165971
0.0,6,146.287705
0.0,6,146.441347
9.0,9,146.65638
-1.366575,6,146.857557
-3.20779,4,146.929974
9.0,9,147.158655
-1.0,5,147.27273
9.0,9,147.520351
9.0,9,147.719784
-1.0,5,147.876703
0.0,6,148.093143
-1.318719,7,148.21025
0.0,5,148.350521
10.0,10,148.607496
-2.0,6,148.801666
0.0,7,148.950199
-2.370348,5,149.144844
-2.0,4,149.253275
9.0,9,149.407958
-1.84084,4,149.576367
0.0,5,149.713482
-1.366575,6,149.859863
2.0,8,150.136282
1.0,7,150.352148
9.0,9,150.682443
2.0,8,150.918895
8.617423,10,151.154448
10.0,10,151.577473
8.681208,10,151.837961
10.0,10,152.21273
8.616025,10,152.548693
-2.0,4,152.732708
9.0,9,152.945802
9.0,9,153.128131
-1.0,5,153.244993
2.0,8,153.464752
9.618511,11,153.671196
9.0,9,153.95065
10.0,10,154.288747
10.0,10,154.468554
-2.373197,6,154.641973
8.615645,10,154.961986
-1.0,5,155.070479
9.0,9,155.335403
-1.731221,7,155.502737
0.0,6,155.661146
9.0,9,155.961163
8.0,9,156.116782
9.0,9,156.408954
-0.381164,6,156.580955
-1.0,5,156.798128
7.298444,10,160.265174
0.0,6,160.605699
-1.0,5,160.823449
-2.0,4,160.963427
-1.0,6,161.157148
10.0,10,161.45791
-1.0,5,161.56474
0.0,6,161.686304
9.0,9,161.950874
0.0,6,162.160988
-2.0,4,162.310626
9.0,9,162.470607
9.0,9,162.686139
0.0,6,162.872642
0.420014,6,163.090717
9.0,9,163.353573
9.0,9,163.504113
-2.0,4,163.661427
-2.290496,6,163.896619
8.0,8,164.093268
9.0,9,164.338342
9.0,9,164.611652
8.633113,10,164.983147
8.618513,10,165.234884
10.0,10,165.486412
9.0,9,165.636723
-1.0,5,165.799582
9.0,10,166.080809
8.550311,11,166.409501
10.0,10,166.707645
0.0,6,166.834787
9.0,9,167.086751
1.0,7,167.353842
10.0,10,167.591136
-1.0,6,167.777377
-1.379585,6,167.963908
-2.370348,5,168.038332
9.0,9,168.26128
-1.0,5,168.350395
0.0,6,168.492811
-1.372771,6,168.682534
-1.0,5,168.831864
9.0,9,169.030422
-0.381164,7,169.235753
-2.0,6,169.416663
3.627229,6,169.509046
7.245512,10,169.731805
-1.958347,5,169.843261
0.0,6,169.984333
-1.634655,5,170.094258
10.0,10,170.38335
9.0,10,170.565656
9.0,9,170.744511
-1.0,5,170.865785
8.552042,11,171.10977
0.0,5,171.235863
9.0,9,171.462819
-1.57953,4,171.629244
0.0,6,171.75216
8.62673,10,171.964568
9.0,9,172.202067
9.0,9,172.41344
-1.0,5,172.549954
-1.693225,8,172.756514
9.0,9,172.980565
9.0,9,173.254047
0.0,6,173.348131
8.617423,10,173.545899
8.0,8,177.146279
9.0,9,177.383669
0.0,6,177.596158
0.0,6,177.802507
-2.444964,6,177.957355
-1.0,5,178.073162
8.62673,10,178.389316
9.0,9,178.552338
8.615645,10,178.820295
0.0,6,178.981094
10.0,10,179.350693
-0.841249,5,179.438645
-1.0,5,179.553021
-2.0,6,179.776351
10.0,10,180.108437
-1.0,5,180.24483
0.0,5,180.343488
-1.318719,6,180.491272
7.616072,9,180.780024
7.616072,9,181.029714
9.0,9,181.307997
1.0,7,181.533988
0.0,6,181.707365
-1.0,6,181.929964
10.0,10,182.145156
-2.29738,3,182.244562
0.0,6,182.450473
9.0,9,182.693395
0.700013,6,182.829989
8.615844,10,183.097815
-5.0,1,183.118704
9.0,9,183.323739
9.0,9,183.547895
8.0,9,183.836934
-1.0,5,184.036932
0.0,6,184.140415
